Task ID,Occupation,Task,User ID,Age,Self-reported Expertise,Automation Desire Rating,Core Skill Rating,Job Security Rating,Enjoyment Rating,Income_Cleaned,LLM_Familiarity_Cleaned,LLM_Familiarity_Dummy,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Generation
19004,Computer Network Support Specialists,Back up network data.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,39,Average,2,1,4,1,125500.0,3.0,0.0,79610.0,146450.0,['Working with Computers'],2,2,2,3,2,Millennials
18991,Computer Network Support Specialists,Configure security settings or access permissions for groups or individuals.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,39,Average,3,3,3,2,125500.0,3.0,0.0,79610.0,146450.0,['Working with Computers'],2,2,2,3,3,Millennials
18993,Computer Network Support Specialists,Document network support activities.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,39,Average,4,2,2,1,125500.0,3.0,0.0,79610.0,146450.0,['Documenting/Recording Information'],1,4,1,3,2,Millennials
19002,Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,39,Average,1,3,4,4,125500.0,3.0,0.0,79610.0,146450.0,['Working with Computers'],1,4,5,5,4,Millennials
19011,Computer Network Support Specialists,Research hardware or software products to meet technical networking or security needs.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,39,Average,3,1,1,1,125500.0,3.0,0.0,79610.0,146450.0,['Getting Information'],1,2,2,2,2,Millennials
21049,Computer Programmers,Develop Web sites.,788a168b-6694-46f6-8493-e757b2f715b3,34,Average,4,3,4,2,,4.0,1.0,103640.0,109870.0,['Thinking Creatively'],2,3,3,3,4,Millennials
14673,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,52,Expert,2,4,3,3,,4.0,1.0,85700.0,154540.0,['Making Decisions and Solving Problems'],1,4,4,5,2,Gen X+
14687,Computer Systems Engineers/Architects,"Communicate project information through presentations, technical reports, or white papers.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,52,Expert,3,4,1,2,,4.0,1.0,85700.0,154540.0,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']",1,5,2,4,3,Gen X+
1285,Computer User Support Specialists,Oversee the daily performance of computer systems.,86c9b5e5-96af-49e1-9b63-5f15b2ee193c,50,Average,3,1,1,3,125500.0,4.0,1.0,64990.0,697210.0,"['Monitoring Processes, Materials, or Surroundings']",1,3,4,3,3,Gen X+
1283,Computer User Support Specialists,Enter commands and observe system functioning to verify correct operations and detect errors.,86c9b5e5-96af-49e1-9b63-5f15b2ee193c,50,Expert,1,4,1,4,125500.0,4.0,1.0,64990.0,697210.0,"['Inspecting Equipment, Structures, or Materials']",1,5,4,4,5,Gen X+
14670,Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,1ea438f6-b348-41ef-a3b7-0d3ea26da742,52,Average,3,2,1,2,,4.0,1.0,85700.0,154540.0,"['Communicating with Supervisors, Peers, or Subordinates', 'Guiding, Directing, and Motivating Subordinates']",1,5,4,5,2,Gen X+
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,52,Expert,5,3,1,1,,4.0,1.0,85700.0,154540.0,['Providing Consultation and Advice to Others'],1,3,4,3,2,Gen X+
14683,Computer Systems Engineers/Architects,Design and conduct hardware or software tests.,1ea438f6-b348-41ef-a3b7-0d3ea26da742,52,Average,2,3,1,3,,4.0,1.0,85700.0,154540.0,"['Inspecting Equipment, Structures, or Materials']",3,1,2,5,4,Gen X+
14671,Computer Systems Engineers/Architects,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,52,Average,2,3,3,3,,4.0,1.0,85700.0,154540.0,"['Judging the Qualities of Objects, Services, or People']",1,1,2,4,2,Gen X+
978,Computer and Information Systems Managers,Review project plans to plan and coordinate project activity.,e2d91683-e436-429f-aaa2-ba6c47d0b288,30,Expert,3,3,2,3,45000.0,3.0,0.0,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",4,2,1,4,2,Millennials
969,Computer and Information Systems Managers,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",e2d91683-e436-429f-aaa2-ba6c47d0b288,30,Average,5,4,4,2,45000.0,3.0,0.0,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",3,4,3,2,3,Millennials
971,Computer and Information Systems Managers,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",e2d91683-e436-429f-aaa2-ba6c47d0b288,30,Novice,4,3,2,1,45000.0,3.0,0.0,187990.0,645970.0,['Thinking Creatively'],3,4,2,3,3,Millennials
972,Computer and Information Systems Managers,Review and approve all systems charts and programs prior to their implementation.,e2d91683-e436-429f-aaa2-ba6c47d0b288,30,Average,3,4,4,2,45000.0,3.0,0.0,187990.0,645970.0,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']",4,4,2,2,4,Millennials
980,Computer and Information Systems Managers,Prepare and review operational reports or project progress reports.,e2d91683-e436-429f-aaa2-ba6c47d0b288,30,Novice,4,3,4,2,45000.0,3.0,0.0,187990.0,645970.0,['Documenting/Recording Information'],4,2,2,3,3,Millennials
